component,posterior_median,q05,q95,units,note
sigma_lab,0.19956741862528132,0.1600661263875041,0.34592408497735744,log10 per day,"between-laboratory spread in decline rate; 6 ERA4TB laboratories, one protocol, one strain"
sigma_lab_a,1.2207929719843702,1.0573191593253917,2.347149385296859,log10 CFU/mL,"between-laboratory spread in STARTING LEVEL, reported separately from the rate effect because the project's thesis is that the rate travels and the level does not"
sigma_iso,0.18827104098237846,0.16391532914244664,0.21053907895792598,log10 per day,"between-isolate spread; 217 Vijay clinical isolates, identical protocol"
sigma_series_era4tb,0.0652815554507077,0.004625987170180284,0.09114023410839953,log10 per day,"flask/series residual on the rate, this deposit"
sigma_series_kaur,0.08093319119363668,0.006364882947268341,0.11071974416153035,log10 per day,"flask/series residual on the rate, this deposit"
sigma_series_vijay,0.011448554471313875,0.001007253686761785,0.01756858599685909,log10 per day,"flask/series residual on the rate, this deposit"
sigma_series_windels,0.41925986159247625,0.06547863359081676,1.1775457927915018,log10 per day,"flask/series residual on the rate, this deposit"
sigma_rate_hyper,0.13484918626719217,0.03090896157850937,0.2229567996029582,dimensionless,"the one shared hyper-variance: how much a rate moves, before the deposit-specific timescale is applied"
sigma_plate,0.4415803000809782,0.43333180886661615,0.4537102389753342,log10 CFU/mL,"within-sample plating noise, identified directly from the four simultaneous ERA4TB platings of one sample at one visit"
sigma_proc_era4tb,0.21480504468255723,0.18509021898108133,0.24261711623934495,log10 units of that deposit's y,process/visit-level noise
tau_era4tb,0.07926917121293091,0.0686185895365469,0.09385458442550061,log10 per day,"random-walk step SD between adjacent segment rates; a declared SMOOTHING prior, not a mechanism"
sigma_proc_kaur,0.4188851045853442,0.2900344813074356,0.4645178577124248,log10 units of that deposit's y,process/visit-level noise
tau_kaur,0.06612691637145464,0.014866318087809745,0.17230062524158726,log10 per day,"random-walk step SD between adjacent segment rates; a declared SMOOTHING prior, not a mechanism"
sigma_proc_vijay,0.6596441840639358,0.6308815582022625,0.839322194780412,log10 units of that deposit's y,process/visit-level noise
tau_vijay,0.01840776870512987,0.0005659639821712142,0.047413320920785616,log10 per day,"random-walk step SD between adjacent segment rates; a declared SMOOTHING prior, not a mechanism"
sigma_proc_windels,0.5649814372987404,0.4759569784541329,0.6676376172174096,log10 units of that deposit's y,process/visit-level noise
tau_windels,0.28842023484769225,0.05059956849018393,0.5705260613894889,log10 per day,"random-walk step SD between adjacent segment rates; a declared SMOOTHING prior, not a mechanism"
pi_era4tb,0.021605922167137442,0.014688308433539904,0.024589515831744107,probability,"P(a below-limit flag means an unreadable plate rather than a culture below the limit), identified from the 125 self-contradicting flags"
