deposit,manuscript_section,conclusion,unit_treated_as_independent,actual_clustering,n_naive_units,n_independent_clusters,naive_estimate,naive_uncertainty,clustered_method,clustered_estimate,clustered_uncertainty,verdict,note
Vijay clinical,1,33 of 217 isolates (15.2%) lack the headroom for a 4-log endpoint,isolate,up to 43 follow-ups repeat a patient,217,174 patients min,33 (15.2%),none (a count),baseline-only recount,21 of 174 (12.1%),none (a count),SUPPORTED,"a census of the deposit, not an estimate; the share barely moves"
Vijay clinical,1,all 33 short isolates are at the ceiling; 88.0% of the rest are (Fisher p = 0.030),isolate,up to 43 follow-ups repeat a patient,217,174 patients min,1.000 vs 0.880,Fisher p = 0.030,baseline-only Fisher exact,1.000 vs 0.869,Fisher p = 0.137,WEAKENED,"the contrast is 100% against 88%, which no test can make large; the count, not the p-value, is what Section 1 needs"
Vijay clinical,2,18 isolates at the floor; their survival span IS their inoculum span,isolate,up to 43 follow-ups repeat a patient,217,174 patients min,"18 isolates, 265-fold",none (an identity),baseline-only recount,"12 isolates, 265-fold",none (an identity),SUPPORTED,L/N0 is arithmetic; clustering cannot touch it
Vijay clinical,2,"185 determinable, 12 forced by the inoculum, 6 undecidable",isolate,up to 43 follow-ups repeat a patient,203,174 patients min,185/12/6,none (a count),baseline-only reclassification,156/10/2 of 168,none (a count),SUPPORTED,the split is a deterministic function of N0 and L
Vijay clinical,2 / 4,the deep endpoint is unreachable for 26.2% of resistant against 7.6% of susceptible isolates,isolate,up to 43 follow-ups repeat a patient,217,174 patients min,26.2% vs 7.6%,Fisher p = 0.00056,baseline-only Fisher exact,22.4% vs 7.6%,Fisher p = 0.016,SUPPORTED,survives on one isolate per patient with room to spare
Vijay clinical,4,resistant isolates enter the assay ten-fold lower,isolate,up to 43 follow-ups repeat a patient,217,174 patients min,10.0-fold,Mann-Whitney p = 9.1e-14,baseline-only Mann-Whitney,10.0-fold,p = 1.5e-09,SUPPORTED,the largest effect in the clinical deposit and the least fragile
Vijay clinical,4,"the resistance-tolerance association attenuates once starting density enters the model, and its interval then spans zero",isolate,up to 43 follow-ups repeat a patient,202,174 patients min,beta 0.259 -> 0.089,p 0.00347 -> 0.374,baseline-only refit,beta 0.230 -> 0.063,p 0.0275 -> 0.578,SUPPORTED,attenuation 72% on baselines only
Vijay clinical,4,"growth state predicts the tolerance class and survives adjustment (beta = +0.027, p = 0.0025)",isolate,up to 43 follow-ups repeat a patient,202,174 patients min,beta 0.0266,p = 0.00246,baseline-only refit,beta 0.0306,p = 0.00173,SUPPORTED,the surviving association of Section 4
Vijay clinical,4,resistant isolates do not grow measurably more slowly (p = 0.24),isolate,up to 43 follow-ups repeat a patient,217,174 patients min,median 19 vs 17,p = 0.24,baseline-only Mann-Whitney,median 15 vs 17,p = 0.47,SUPPORTED,a null that stays a null; the follow-ups were not carrying it
Vijay clinical,10,no MIC-MDK association survives Benjamini-Hochberg,isolate,up to 43 follow-ups repeat a patient,6 tests,174 patients min,"1 nominal, 0 survive",smallest p = 0.0361,baseline-only family of six,"1 nominal, 0 survive",smallest p = 0.00862,SUPPORTED,exp16 already carried a baseline-only stratum; this confirms it as a family in its own right
